bachelors_field_group,median_earnings_2024,margin_of_error_90_percent,geography,universe,dataset,source_url,note
All bachelor's degree fields,79879,275,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
"Computers, Mathematics, and Statistics",102338,323,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
"Biological, Agricultural, and Environmental Sciences",81793,307,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Physical and Related Sciences,90385,735,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Psychology,66736,411,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Social Sciences,86203,648,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Engineering,113242,1070,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Multidisciplinary Studies,68608,2365,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Science and Engineering Related Fields,80701,177,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Business,85453,353,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Education,60721,165,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Literature and Languages,68947,1162,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Liberal Arts and History,70996,484,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Visual and Performing Arts,60247,396,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Communications,72183,405,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
Other,67499,625,United States,Population age 25 to 64 with earnings and a bachelor's degree or higher,ACS 2024 1-Year Detailed Table B15013,https://data.census.gov/table/ACSDT1Y2024.B15013,Association by first bachelor's degree field; not a causal estimate or occupation-specific outcome.
