geography_type,area_code,geography,education_category,employment_2025,share_of_employment_percent,employment_relative_standard_error,hourly_mean_wage_2025,annual_mean_wage_2025,mean_wage_relative_standard_error,hourly_median_wage_2025,annual_median_wage_2025,annual_wage_p10_2025,annual_wage_p25_2025,annual_wage_p75_2025,annual_wage_p90_2025,source_vintage
National,99,U.S.,Doctoral or professional degree,4000490.0,2.5727330261737738,0.3,79.6,165580.0,0.5,61.96,128870.0,62190.0,82270.0,204830.0,345660.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Master's degree,3573310.0,2.2980116560113903,0.3,46.12,95930.0,0.2,40.0,83210.0,46730.0,60780.0,122240.0,158540.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Bachelor's degree,38977680.0,25.06672048164924,0.1,53.47,111220.0,0.1,46.38,96480.0,49930.0,66120.0,133210.0,185290.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Associate's degree,3317490.0,2.133492668898368,0.4,34.3,71350.0,0.2,31.25,64990.0,37190.0,48060.0,86740.0,107410.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Postsecondary nondegree award,9660290.0,6.212575740825809,0.2,27.21,56590.0,0.1,23.99,49910.0,35750.0,40870.0,64400.0,81580.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,"Some college, no degree",3882080.0,2.496583025141591,0.3,24.56,51080.0,0.3,22.44,46670.0,30160.0,36670.0,59680.0,75990.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,High school diploma or equivalent,54661270.0,35.15290741424218,0.1,26.89,55920.0,0.1,23.1,48050.0,32910.0,38060.0,63870.0,87470.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,No formal educational credential,37423120.0,24.066975987057653,0.1,18.88,39270.0,0.1,17.5,36400.0,27040.0,30880.0,44570.0,55510.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Doctoral or professional degree,45120.0,2.1348,2.0,69.27,144090.0,2.6,51.17,106430.0,58400.0,74190.0,164830.0,304000.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Master's degree,41910.0,1.9828,1.6,40.99,85260.0,1.0,36.61,76160.0,42740.0,57110.0,102430.0,129690.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Bachelor's degree,456500.0,21.5976,0.5,44.48,92520.0,0.4,37.87,78770.0,45410.0,60660.0,111460.0,160050.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Associate's degree,46350.0,2.1928,2.0,26.79,55720.0,0.7,26.41,54930.0,28440.0,37700.0,68270.0,82180.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Postsecondary nondegree award,153490.0,7.2616,0.9,23.53,48940.0,0.5,21.51,44730.0,30000.0,35990.0,59430.0,75370.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,"Some college, no degree",39450.0,1.8663,2.2,19.91,41420.0,0.8,18.92,39350.0,22980.0,28340.0,49550.0,61000.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,High school diploma or equivalent,807220.0,38.1909,0.4,24.02,49960.0,0.3,21.69,45110.0,28110.0,35180.0,59930.0,77860.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,No formal educational credential,523620.0,24.7732,0.5,15.77,32810.0,0.3,14.46,30070.0,21820.0,26020.0,36740.0,46370.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Doctoral or professional degree,,,,96.18,200050.0,2.7,69.75,145090.0,71170.0,98520.0,242410.0,418440.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Master's degree,,,,49.31,102550.0,1.0,47.03,97810.0,53850.0,71240.0,126070.0,160230.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Bachelor's degree,77810.0,23.9008,0.9,52.42,109020.0,0.4,47.04,97840.0,59130.0,76390.0,128970.0,166540.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Associate's degree,7830.0,2.4057,2.6,41.15,85600.0,1.5,37.95,78930.0,43530.0,57080.0,104650.0,133320.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Postsecondary nondegree award,22420.0,6.885599999999999,1.5,33.49,69660.0,0.9,29.77,61920.0,42370.0,48900.0,81060.0,104410.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,"Some college, no degree",10120.0,3.1099,2.5,24.4,50750.0,0.7,23.48,48840.0,29390.0,38010.0,60420.0,73760.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,High school diploma or equivalent,116350.0,35.737700000000004,0.8,31.16,64810.0,0.4,27.89,58010.0,36980.0,45090.0,78150.0,102290.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,No formal educational credential,75890.0,23.3117,1.0,21.01,43690.0,0.6,18.33,38130.0,28300.0,33650.0,47440.0,63440.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Doctoral or professional degree,75810.0,2.3402000000000003,2.3,82.53,171660.0,2.7,62.75,130510.0,67140.0,82900.0,207480.0,371840.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Master's degree,69940.0,2.159,2.0,43.25,89960.0,1.2,37.71,78440.0,46440.0,57880.0,110640.0,141680.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Bachelor's degree,801250.0,24.7344,0.7,50.2,104420.0,1.1,42.8,89030.0,48560.0,62660.0,127950.0,169990.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Associate's degree,66790.0,2.0618,2.6,33.39,69440.0,0.9,30.66,63760.0,36540.0,46450.0,86120.0,105020.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Postsecondary nondegree award,196750.0,6.0735,1.6,26.91,55970.0,0.8,23.52,48920.0,36920.0,42560.0,62940.0,80550.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,"Some college, no degree",71620.0,2.2108,2.3,24.15,50220.0,0.7,22.24,46270.0,32690.0,36350.0,59440.0,74880.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,High school diploma or equivalent,1144340.0,35.3254,0.5,26.49,55110.0,0.3,23.16,48170.0,35200.0,38730.0,62660.0,81060.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,No formal educational credential,812930.0,25.095,0.6,19.98,41550.0,0.4,17.76,36930.0,31100.0,34090.0,45630.0,58010.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Doctoral or professional degree,27860.0,2.1369,1.9,67.52,140430.0,2.5,48.13,100120.0,50250.0,64330.0,164890.0,304800.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Master's degree,27860.0,2.1367000000000003,2.2,41.87,87080.0,1.6,37.6,78200.0,40680.0,57200.0,107150.0,135200.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Bachelor's degree,280190.0,21.4929,0.5,40.58,84400.0,0.7,34.17,71070.0,39840.0,51780.0,100420.0,139420.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Associate's degree,23750.0,1.8219,2.1,29.79,61960.0,1.0,28.84,59990.0,32290.0,43240.0,78300.0,93900.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Postsecondary nondegree award,102590.0,7.869400000000001,1.2,23.54,48970.0,0.5,21.86,45460.0,30320.0,35890.0,59200.0,72260.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,"Some college, no degree",29800.0,2.2861000000000002,2.8,19.53,40630.0,0.7,17.92,37270.0,24560.0,28850.0,47430.0,59750.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,High school diploma or equivalent,482060.0,36.977999999999994,0.5,22.85,47540.0,0.3,20.28,42180.0,28400.0,34450.0,54790.0,72710.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,No formal educational credential,329530.0,25.278100000000002,0.5,15.98,33230.0,0.3,14.51,30180.0,23690.0,26890.0,36890.0,45610.0,BLS OEWS May 2025 special education aggregation
State,6,California,Doctoral or professional degree,462940.0,2.5417,1.4,87.44,181870.0,2.4,74.77,155520.0,74510.0,102380.0,217050.0,338460.0,BLS OEWS May 2025 special education aggregation
State,6,California,Master's degree,422200.0,2.318,1.0,51.02,106120.0,0.6,47.05,97870.0,47000.0,61120.0,135140.0,173100.0,BLS OEWS May 2025 special education aggregation
State,6,California,Bachelor's degree,4768880.0,26.183,0.4,63.62,132320.0,0.2,55.16,114730.0,58690.0,78520.0,166300.0,218780.0,BLS OEWS May 2025 special education aggregation
State,6,California,Associate's degree,370100.0,2.032,1.8,40.63,84510.0,0.8,36.79,76510.0,45640.0,55890.0,104670.0,133620.0,BLS OEWS May 2025 special education aggregation
State,6,California,Postsecondary nondegree award,1015220.0,5.5739,0.7,31.19,64870.0,0.3,28.25,58770.0,38480.0,46670.0,76700.0,96380.0,BLS OEWS May 2025 special education aggregation
State,6,California,"Some college, no degree",494670.0,2.7159,1.7,30.79,64030.0,2.1,24.69,51350.0,38020.0,45130.0,66000.0,94300.0,BLS OEWS May 2025 special education aggregation
State,6,California,High school diploma or equivalent,6216350.0,34.1301,0.2,29.39,61130.0,0.2,24.02,49960.0,34900.0,38940.0,73110.0,99840.0,BLS OEWS May 2025 special education aggregation
State,6,California,No formal educational credential,4463340.0,24.5054,0.3,21.63,44990.0,0.2,19.42,40390.0,35050.0,36540.0,47260.0,59730.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Doctoral or professional degree,77570.0,2.6991,1.2,80.29,167010.0,2.2,62.34,129660.0,61990.0,82850.0,207480.0,332990.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Master's degree,67760.0,2.3578,1.7,46.08,95850.0,1.6,40.5,84240.0,48370.0,62110.0,120720.0,148520.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Bachelor's degree,808150.0,28.1202,0.5,56.19,116880.0,0.5,48.82,101540.0,57460.0,76030.0,139230.0,194420.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Associate's degree,61530.0,2.1409,2.4,37.89,78810.0,1.0,36.44,75800.0,45680.0,56570.0,98200.0,119220.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Postsecondary nondegree award,155530.0,5.4117,1.2,29.52,61400.0,0.6,27.17,56510.0,38870.0,46540.0,71600.0,91290.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,"Some college, no degree",70360.0,2.4482,2.1,26.7,55530.0,0.7,23.87,49650.0,30800.0,38200.0,64380.0,83600.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,High school diploma or equivalent,946090.0,32.92,0.4,30.09,62590.0,0.6,26.46,55040.0,37560.0,44680.0,73940.0,97240.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,No formal educational credential,686920.0,23.902,0.4,21.28,44260.0,0.5,18.89,39290.0,31940.0,35970.0,47130.0,59490.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Doctoral or professional degree,57610.0,3.3965000000000005,1.3,76.41,158930.0,1.4,60.62,126090.0,65720.0,85910.0,185810.0,326860.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Master's degree,47230.0,2.7847,1.8,50.04,104080.0,0.7,47.15,98070.0,49630.0,68300.0,131190.0,166430.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Bachelor's degree,455970.0,26.8824,0.5,58.34,121350.0,0.5,49.53,103020.0,58680.0,78700.0,140620.0,203590.0,BLS OEWS May 2025 special education aggregation
