soc_code,occupation_title,employment_2025,employment_relative_standard_error,hourly_mean_wage_2025,annual_mean_wage_2025,mean_wage_relative_standard_error,hourly_wage_p10_2025,hourly_wage_p25_2025,hourly_median_wage_2025,hourly_wage_p75_2025,hourly_wage_p90_2025,annual_wage_p10_2025,annual_wage_p25_2025,annual_median_wage_2025,annual_wage_p75_2025,annual_wage_p90_2025,projection_title,employment_2024_thousands,employment_2034_thousands,employment_change_2024_2034_thousands,employment_change_percent_2024_2034,percent_self_employed_2024,annual_openings_2024_2034_thousands,annual_median_wage_2024,typical_entry_education,related_work_experience,on_the_job_training,oews_typical_entry_education,onet_soc_code,onet_title,description,onet_job_zone,onet_job_zone_date,occupation_title_search,source_vintage
11-1011,Chief Executives,204350,3.1,129.63,269630.0,1.9,36.39,62.28,102.88,171.25,244.1,75700.0,129540.0,213990.0,356200.0,507730.0,      Chief executives,309.4,322.7,13.3,4.3,25.9,22.2,206420.0,Bachelor's degree,5 years or more,,Bachelor's degree,11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",5.0,08/2023,chief executives,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-1021,General and Operations Managers,3503020,0.3,64.87,134940.0,0.3,24.08,34.77,50.85,80.42,121.82,50090.0,72320.0,105770.0,167280.0,253390.0,      General and operations managers,3712.9,3876.8,164.0,4.4,0.9,308.7,102950.0,Bachelor's degree,5 years or more,,Bachelor's degree,11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",4.0,08/2023,general and operations managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-2011,Advertising and Promotions Managers,21470,3.9,74.18,154280.0,3.0,30.43,43.93,64.26,96.66,137.62,63300.0,91370.0,133660.0,201050.0,286240.0,      Advertising and promotions managers,27.0,26.4,-0.6,-2.2,20.7,2.1,126960.0,Bachelor's degree,Less than 5 years,,Bachelor's degree,11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",4.0,08/2018,advertising and promotions managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-2021,Marketing Managers,395240,0.8,85.47,177770.0,0.3,43.39,59.15,80.19,104.04,141.16,90260.0,123020.0,166790.0,216410.0,293610.0,        Marketing managers,407.0,433.7,26.7,6.6,3.6,34.3,161030.0,Bachelor's degree,5 years or more,,Bachelor's degree,11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",4.0,07/2015,marketing managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-2022,Sales Managers,637080,1.1,79.02,164350.0,0.4,35.18,48.25,71.28,99.68,139.68,73170.0,100360.0,148270.0,207340.0,290540.0,        Sales managers,619.5,648.5,29.0,4.7,0.9,49.0,138060.0,Bachelor's degree,Less than 5 years,,Bachelor's degree,11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",4.0,08/2025,sales managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-2032,Public Relations Managers,74850,1.8,79.21,164760.0,0.8,39.62,51.24,70.63,98.33,137.01,82410.0,106580.0,146910.0,204520.0,284990.0,        Public relations managers,83.2,87.3,4.1,5.0,0.3,6.6,138520.0,Bachelor's degree,5 years or more,,Bachelor's degree,11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",4.0,11/2021,public relations managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-2033,Fundraising Managers,38810,1.4,67.32,140020.0,0.9,36.12,46.14,60.32,81.73,106.9,75130.0,95970.0,125470.0,169990.0,222350.0,        Fundraising managers,45.7,47.6,1.9,4.2,0.2,3.6,123480.0,Bachelor's degree,5 years or more,,Bachelor's degree,11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",4.0,08/2025,fundraising managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-3012,Administrative Services Managers,263960,1.2,62.44,129870.0,0.5,32.26,41.57,54.87,75.69,99.86,67100.0,86460.0,114130.0,157420.0,207720.0,        Administrative services managers,271.2,283.8,12.6,4.6,0.0,23.2,108390.0,Bachelor's degree,Less than 5 years,,Bachelor's degree,11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",3.0,07/2017,administrative services managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-3013,Facilities Managers,156180,1.1,56.2,116890.0,0.5,31.0,39.43,51.28,66.76,84.67,64480.0,82020.0,106660.0,138870.0,176120.0,        Facilities managers,151.4,157.1,5.7,3.8,,13.2,104690.0,Bachelor's degree,Less than 5 years,,Bachelor's degree,11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",3.0,08/2024,facilities managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
11-3021,Computer and Information Systems Managers,670570,0.5,92.39,192160.0,0.3,51.71,66.38,84.2,106.12,143.03,107550.0,138060.0,175140.0,220730.0,297510.0,      Computer and information systems managers,667.1,768.7,101.6,15.2,0.9,55.6,171200.0,Bachelor's degree,5 years or more,,Bachelor's degree,11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",4.0,07/2016,computer and information systems managers,BLS OEWS May 2025 + BLS projections 2024–2034 + O*NET 30.3
