soc_code,onet_soc_code,occupation_title,education_level,respondent_share_percent,source_date,rank
11-1011,11-1011.00,Chief Executives,Master's degree,45.91,08/2023,1
11-1011,11-1011.00,Chief Executives,Bachelor's degree,32.29,08/2023,2
11-1011,11-1011.00,Chief Executives,Associate's degree,5.15,08/2023,3
11-1011,11-1011.00,Chief Executives,Doctoral degree,4.92,08/2023,4
11-1011,11-1011.00,Chief Executives,High school diploma or equivalent,4.46,08/2023,5
11-1011,11-1011.00,Chief Executives,Post-master's certificate,3.94,08/2023,6
11-1021,11-1021.00,General and Operations Managers,High school diploma or equivalent,28.76,08/2023,1
11-1021,11-1021.00,General and Operations Managers,Bachelor's degree,27.3,08/2023,2
11-1021,11-1021.00,General and Operations Managers,"Some college, no degree",21.59,08/2023,3
11-1021,11-1021.00,General and Operations Managers,Less than high school diploma,10.35,08/2023,4
11-1021,11-1021.00,General and Operations Managers,Associate's degree,5.99,08/2023,5
11-1021,11-1021.00,General and Operations Managers,Post-secondary certificate,5.72,08/2023,6
11-2011,11-2011.00,Advertising and Promotions Managers,Bachelor's degree,60.02,08/2018,1
11-2011,11-2011.00,Advertising and Promotions Managers,High school diploma or equivalent,9.82,08/2018,2
11-2011,11-2011.00,Advertising and Promotions Managers,Associate's degree,8.04,08/2018,3
11-2011,11-2011.00,Advertising and Promotions Managers,"Some college, no degree",7.67,08/2018,4
11-2011,11-2011.00,Advertising and Promotions Managers,Less than high school diploma,6.16,08/2018,5
11-2011,11-2011.00,Advertising and Promotions Managers,Master's degree,5.87,08/2018,6
11-2021,11-2021.00,Marketing Managers,Bachelor's degree,55.76,07/2015,1
11-2021,11-2021.00,Marketing Managers,Master's degree,24.36,07/2015,2
11-2021,11-2021.00,Marketing Managers,First professional degree,10.52,07/2015,3
11-2021,11-2021.00,Marketing Managers,High school diploma or equivalent,3.53,07/2015,4
11-2021,11-2021.00,Marketing Managers,Associate's degree,3.03,07/2015,5
11-2021,11-2021.00,Marketing Managers,"Some college, no degree",2.8,07/2015,6
11-2033,11-2033.00,Fundraising Managers,Master's degree,10.93,08/2025,1
11-2033,11-2033.00,Fundraising Managers,Associate's degree,3.93,08/2025,2
11-2033,11-2033.00,Fundraising Managers,Less than high school diploma,0.0,08/2025,3
11-2033,11-2033.00,Fundraising Managers,High school diploma or equivalent,0.0,08/2025,4
11-2033,11-2033.00,Fundraising Managers,Post-secondary certificate,0.0,08/2025,5
11-2033,11-2033.00,Fundraising Managers,Post-baccalaureate certificate,0.0,08/2025,6
11-3012,11-3012.00,Administrative Services Managers,High school diploma or equivalent,33.56,07/2017,1
11-3012,11-3012.00,Administrative Services Managers,Bachelor's degree,24.28,07/2017,2
