soc_code,onet_soc_code,occupation_title,knowledge_area,importance,source_date,rank
11-1011,11-1011.00,Chief Executives,Administration and Management,4.78,08/2023,1
11-1011,11-1011.00,Chief Executives,Personnel and Human Resources,4.48,08/2023,2
11-1011,11-1011.00,Chief Executives,English Language,4.41,08/2023,3
11-1011,11-1011.00,Chief Executives,Customer and Personal Service,4.39,08/2023,4
11-1011,11-1011.00,Chief Executives,Economics and Accounting,4.04,08/2023,5
11-1011,11-1011.00,Chief Executives,Public Safety and Security,3.88,08/2023,6
11-1011,11-1011.00,Chief Executives,Computers and Electronics,3.82,08/2023,7
11-1011,11-1011.00,Chief Executives,Sales and Marketing,3.81,08/2023,8
11-1011,11-1011.00,Chief Executives,Mathematics,3.6,08/2023,9
11-1011,11-1011.00,Chief Executives,Education and Training,3.52,08/2023,10
11-1011,11-1011.00,Chief Executives,Law and Government,3.48,08/2023,11
11-1011,11-1011.00,Chief Executives,Psychology,3.09,08/2023,12
11-1011,11-1011.00,Chief Executives,Engineering and Technology,3.05,08/2023,13
11-1011,11-1011.00,Chief Executives,Communications and Media,3.02,08/2023,14
11-1011,11-1011.00,Chief Executives,Sociology and Anthropology,2.88,08/2023,15
11-1021,11-1021.00,General and Operations Managers,Administration and Management,4.25,08/2023,1
11-1021,11-1021.00,General and Operations Managers,Customer and Personal Service,4.15,08/2023,2
11-1021,11-1021.00,General and Operations Managers,English Language,3.7,08/2023,3
11-1021,11-1021.00,General and Operations Managers,Production and Processing,3.57,08/2023,4
11-1021,11-1021.00,General and Operations Managers,Mathematics,3.53,08/2023,5
11-1021,11-1021.00,General and Operations Managers,Personnel and Human Resources,3.44,08/2023,6
11-1021,11-1021.00,General and Operations Managers,Administrative,3.21,08/2023,7
11-1021,11-1021.00,General and Operations Managers,Economics and Accounting,3.2,08/2023,8
11-1021,11-1021.00,General and Operations Managers,Sales and Marketing,2.99,08/2023,9
11-1021,11-1021.00,General and Operations Managers,Engineering and Technology,2.9,08/2023,10
11-1021,11-1021.00,General and Operations Managers,Mechanical,2.85,08/2023,11
11-1021,11-1021.00,General and Operations Managers,Education and Training,2.79,08/2023,12
11-1021,11-1021.00,General and Operations Managers,Public Safety and Security,2.74,08/2023,13
11-1021,11-1021.00,General and Operations Managers,Computers and Electronics,2.67,08/2023,14
11-1021,11-1021.00,General and Operations Managers,Law and Government,2.56,08/2023,15
11-2011,11-2011.00,Advertising and Promotions Managers,Sales and Marketing,4.68,08/2018,1
11-2011,11-2011.00,Advertising and Promotions Managers,English Language,4.41,08/2018,2
11-2011,11-2011.00,Advertising and Promotions Managers,Communications and Media,4.35,08/2018,3
11-2011,11-2011.00,Advertising and Promotions Managers,Customer and Personal Service,4.16,08/2018,4
11-2011,11-2011.00,Advertising and Promotions Managers,Administration and Management,4.12,08/2018,5
11-2011,11-2011.00,Advertising and Promotions Managers,Computers and Electronics,3.31,08/2018,6
11-2011,11-2011.00,Advertising and Promotions Managers,Administrative,3.25,08/2018,7
11-2011,11-2011.00,Advertising and Promotions Managers,Mathematics,3.16,08/2018,8
11-2011,11-2011.00,Advertising and Promotions Managers,Economics and Accounting,3.04,08/2018,9
11-2011,11-2011.00,Advertising and Promotions Managers,Education and Training,2.94,08/2018,10
11-2011,11-2011.00,Advertising and Promotions Managers,Psychology,2.87,08/2018,11
11-2011,11-2011.00,Advertising and Promotions Managers,Design,2.79,08/2018,12
11-2011,11-2011.00,Advertising and Promotions Managers,Personnel and Human Resources,2.6,08/2018,13
11-2011,11-2011.00,Advertising and Promotions Managers,Production and Processing,2.58,08/2018,14
11-2011,11-2011.00,Advertising and Promotions Managers,Sociology and Anthropology,2.5,08/2018,15
11-2021,11-2021.00,Marketing Managers,Sales and Marketing,4.85,07/2015,1
11-2021,11-2021.00,Marketing Managers,English Language,4.48,07/2015,2
11-2021,11-2021.00,Marketing Managers,Administration and Management,4.04,07/2015,3
11-2021,11-2021.00,Marketing Managers,Customer and Personal Service,3.85,07/2015,4
11-2021,11-2021.00,Marketing Managers,Communications and Media,3.8,07/2015,5
11-2021,11-2021.00,Marketing Managers,Computers and Electronics,3.51,07/2015,6
11-2021,11-2021.00,Marketing Managers,Mathematics,3.51,07/2015,7
11-2021,11-2021.00,Marketing Managers,Design,3.15,07/2015,8
11-2021,11-2021.00,Marketing Managers,Economics and Accounting,3.1,07/2015,9
11-2021,11-2021.00,Marketing Managers,Education and Training,3.03,07/2015,10
11-2021,11-2021.00,Marketing Managers,Administrative,3.01,07/2015,11
11-2021,11-2021.00,Marketing Managers,Law and Government,2.86,07/2015,12
11-2021,11-2021.00,Marketing Managers,Telecommunications,2.86,07/2015,13
11-2021,11-2021.00,Marketing Managers,Engineering and Technology,2.77,07/2015,14
11-2021,11-2021.00,Marketing Managers,Personnel and Human Resources,2.71,07/2015,15
11-2033,11-2033.00,Fundraising Managers,Administration and Management,4.28,08/2025,1
11-2033,11-2033.00,Fundraising Managers,Customer and Personal Service,4.24,08/2025,2
11-2033,11-2033.00,Fundraising Managers,Administrative,4.15,08/2025,3
11-2033,11-2033.00,Fundraising Managers,English Language,4.12,08/2025,4
11-2033,11-2033.00,Fundraising Managers,Sales and Marketing,3.81,08/2025,5
11-2033,11-2033.00,Fundraising Managers,Economics and Accounting,3.46,08/2025,6
11-2033,11-2033.00,Fundraising Managers,Communications and Media,3.43,08/2025,7
11-2033,11-2033.00,Fundraising Managers,Personnel and Human Resources,3.27,08/2025,8
11-2033,11-2033.00,Fundraising Managers,Mathematics,3.06,08/2025,9
11-2033,11-2033.00,Fundraising Managers,Psychology,2.51,08/2025,10
11-2033,11-2033.00,Fundraising Managers,Education and Training,2.49,08/2025,11
11-2033,11-2033.00,Fundraising Managers,Sociology and Anthropology,2.41,08/2025,12
11-2033,11-2033.00,Fundraising Managers,Computers and Electronics,2.37,08/2025,13
11-2033,11-2033.00,Fundraising Managers,Law and Government,2.33,08/2025,14
11-2033,11-2033.00,Fundraising Managers,Philosophy and Theology,2.08,08/2025,15
11-3012,11-3012.00,Administrative Services Managers,Customer and Personal Service,4.44,07/2017,1
11-3012,11-3012.00,Administrative Services Managers,Administration and Management,4.24,07/2017,2
11-3012,11-3012.00,Administrative Services Managers,English Language,4.03,07/2017,3
11-3012,11-3012.00,Administrative Services Managers,Administrative,3.9,07/2017,4
11-3012,11-3012.00,Administrative Services Managers,Personnel and Human Resources,3.35,07/2017,5
11-3012,11-3012.00,Administrative Services Managers,Computers and Electronics,3.35,07/2017,6
11-3012,11-3012.00,Administrative Services Managers,Public Safety and Security,3.29,07/2017,7
11-3012,11-3012.00,Administrative Services Managers,Mathematics,3.26,07/2017,8
11-3012,11-3012.00,Administrative Services Managers,Economics and Accounting,2.92,07/2017,9
11-3012,11-3012.00,Administrative Services Managers,Production and Processing,2.89,07/2017,10
11-3012,11-3012.00,Administrative Services Managers,Law and Government,2.88,07/2017,11
11-3012,11-3012.00,Administrative Services Managers,Education and Training,2.84,07/2017,12
11-3012,11-3012.00,Administrative Services Managers,Telecommunications,2.63,07/2017,13
11-3012,11-3012.00,Administrative Services Managers,Communications and Media,2.4,07/2017,14
11-3012,11-3012.00,Administrative Services Managers,Mechanical,2.33,07/2017,15
11-3013,11-3013.00,Facilities Managers,Customer and Personal Service,4.37,08/2024,1
11-3013,11-3013.00,Facilities Managers,Administration and Management,4.21,08/2024,2
11-3013,11-3013.00,Facilities Managers,English Language,3.77,08/2024,3
11-3013,11-3013.00,Facilities Managers,Public Safety and Security,3.47,08/2024,4
11-3013,11-3013.00,Facilities Managers,Personnel and Human Resources,3.41,08/2024,5
11-3013,11-3013.00,Facilities Managers,Mechanical,3.36,08/2024,6
11-3013,11-3013.00,Facilities Managers,Building and Construction,3.32,08/2024,7
11-3013,11-3013.00,Facilities Managers,Administrative,3.31,08/2024,8
11-3013,11-3013.00,Facilities Managers,Psychology,3.29,08/2024,9
11-3013,11-3013.00,Facilities Managers,Education and Training,3.27,08/2024,10
11-3013,11-3013.00,Facilities Managers,Computers and Electronics,3.25,08/2024,11
11-3013,11-3013.00,Facilities Managers,Mathematics,3.11,08/2024,12
11-3013,11-3013.00,Facilities Managers,Engineering and Technology,3.05,08/2024,13
11-3013,11-3013.00,Facilities Managers,Transportation,2.99,08/2024,14
11-3013,11-3013.00,Facilities Managers,Economics and Accounting,2.9,08/2024,15
11-3021,11-3021.00,Computer and Information Systems Managers,Computers and Electronics,4.77,07/2016,1
11-3021,11-3021.00,Computer and Information Systems Managers,Customer and Personal Service,4.05,07/2016,2
11-3021,11-3021.00,Computer and Information Systems Managers,Administration and Management,3.7,07/2016,3
11-3021,11-3021.00,Computer and Information Systems Managers,Engineering and Technology,3.5,07/2016,4
11-3021,11-3021.00,Computer and Information Systems Managers,English Language,3.48,07/2016,5
11-3021,11-3021.00,Computer and Information Systems Managers,Personnel and Human Resources,3.42,07/2016,6
11-3021,11-3021.00,Computer and Information Systems Managers,Mathematics,3.16,07/2016,7
11-3021,11-3021.00,Computer and Information Systems Managers,Education and Training,3.05,07/2016,8
11-3021,11-3021.00,Computer and Information Systems Managers,Telecommunications,2.63,07/2016,9
11-3021,11-3021.00,Computer and Information Systems Managers,Design,2.61,07/2016,10
11-3021,11-3021.00,Computer and Information Systems Managers,Administrative,2.48,07/2016,11
11-3021,11-3021.00,Computer and Information Systems Managers,Geography,2.24,07/2016,12
11-3021,11-3021.00,Computer and Information Systems Managers,Psychology,2.22,07/2016,13
11-3021,11-3021.00,Computer and Information Systems Managers,Communications and Media,2.16,07/2016,14
11-3021,11-3021.00,Computer and Information Systems Managers,Economics and Accounting,2.15,07/2016,15
11-3031,11-3031.03,Investment Fund Managers,Economics and Accounting,4.67,07/2014,1
11-3031,11-3031.00,Financial Managers,Customer and Personal Service,4.66,08/2022,2
11-3031,11-3031.03,Investment Fund Managers,English Language,4.36,07/2014,3
11-3031,11-3031.03,Investment Fund Managers,Mathematics,4.34,07/2014,4
11-3031,11-3031.00,Financial Managers,Administration and Management,4.33,08/2022,5
11-3031,11-3031.00,Financial Managers,Economics and Accounting,4.07,08/2022,6
11-3031,11-3031.00,Financial Managers,Mathematics,3.73,08/2022,7
11-3031,11-3031.00,Financial Managers,Administrative,3.7,08/2022,8
11-3031,11-3031.03,Investment Fund Managers,Customer and Personal Service,3.67,07/2014,9
11-3031,11-3031.00,Financial Managers,Law and Government,3.6,08/2022,10
11-3031,11-3031.00,Financial Managers,Personnel and Human Resources,3.5,08/2022,11
11-3031,11-3031.00,Financial Managers,Sales and Marketing,3.35,08/2022,12
11-3031,11-3031.00,Financial Managers,English Language,3.32,08/2022,13
11-3031,11-3031.00,Financial Managers,Education and Training,3.29,08/2022,14
11-3031,11-3031.00,Financial Managers,Computers and Electronics,3.25,08/2022,15
11-3051,11-3051.03,Biofuels Production Managers,Production and Processing,4.73,07/2016,1
11-3051,11-3051.00,Industrial Production Managers,Production and Processing,4.41,08/2021,2
11-3051,11-3051.02,Geothermal Production Managers,Mechanical,4.4,07/2011,3
11-3051,11-3051.04,Biomass Power Plant Managers,Mechanical,4.3,08/2020,4
11-3051,11-3051.02,Geothermal Production Managers,Administration and Management,4.21,07/2011,5
11-3051,11-3051.01,Quality Control Systems Managers,Production and Processing,4.12,08/2022,6
11-3051,11-3051.03,Biofuels Production Managers,Administration and Management,4.08,07/2016,7
11-3051,11-3051.04,Biomass Power Plant Managers,Engineering and Technology,4.08,08/2020,8
11-3051,11-3051.00,Industrial Production Managers,Administration and Management,4.07,08/2021,9
11-3051,11-3051.01,Quality Control Systems Managers,Education and Training,4.07,08/2022,10
11-3051,11-3051.06,Hydroelectric Production Managers,Mechanical,4.07,07/2016,11
11-3051,11-3051.01,Quality Control Systems Managers,English Language,4.06,08/2022,12
11-3051,11-3051.04,Biomass Power Plant Managers,Production and Processing,4.06,08/2020,13
11-3051,11-3051.06,Hydroelectric Production Managers,Public Safety and Security,4.06,07/2016,14
11-3051,11-3051.04,Biomass Power Plant Managers,Administration and Management,4.05,08/2020,15
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Transportation,4.46,11/2020,1
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Administration and Management,4.14,11/2020,2
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Customer and Personal Service,3.98,11/2020,3
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",English Language,3.8,11/2020,4
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Mathematics,3.59,11/2020,5
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Personnel and Human Resources,3.55,11/2020,6
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Public Safety and Security,3.49,11/2020,7
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Economics and Accounting,3.24,11/2020,8
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Production and Processing,3.19,11/2020,9
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Computers and Electronics,3.19,11/2020,10
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Administrative,3.11,11/2020,11
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Law and Government,3.11,11/2020,12
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Education and Training,3.1,11/2020,13
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Geography,2.93,11/2020,14
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Sales and Marketing,2.79,11/2020,15
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Administration and Management,4.13,11/2020,1
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Production and Processing,3.9,11/2020,2
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Biology,3.82,11/2020,3
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mathematics,3.63,11/2020,4
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Personnel and Human Resources,3.39,11/2020,5
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",English Language,3.39,11/2020,6
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Food Production,3.37,11/2020,7
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Economics and Accounting,3.29,11/2020,8
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Sales and Marketing,3.29,11/2020,9
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mechanical,3.25,11/2020,10
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Customer and Personal Service,3.22,11/2020,11
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Education and Training,3.22,11/2020,12
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Chemistry,3.1,11/2020,13
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Transportation,2.97,11/2020,14
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Engineering and Technology,2.9,11/2020,15
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Customer and Personal Service,4.48,08/2018,1
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Education and Training,4.28,08/2018,2
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Administration and Management,4.09,08/2018,3
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",English Language,3.89,08/2018,4
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Psychology,3.55,08/2018,5
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Public Safety and Security,3.55,08/2018,6
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Personnel and Human Resources,3.53,08/2018,7
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Sales and Marketing,3.5,08/2018,8
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Administrative,3.48,08/2018,9
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Mathematics,3.25,08/2018,10
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Economics and Accounting,3.14,08/2018,11
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Computers and Electronics,3.01,08/2018,12
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Food Production,2.86,08/2018,13
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Communications and Media,2.77,08/2018,14
11-9031,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Sociology and Anthropology,2.76,08/2018,15
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Education and Training,4.59,08/2025,1
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Administration and Management,4.33,08/2025,2
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",English Language,4.02,08/2025,3
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Administrative,3.57,08/2025,4
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Mathematics,3.56,08/2025,5
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Customer and Personal Service,3.48,08/2025,6
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Personnel and Human Resources,3.41,08/2025,7
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Computers and Electronics,3.4,08/2025,8
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Psychology,3.24,08/2025,9
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Public Safety and Security,3.22,08/2025,10
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Communications and Media,3.14,08/2025,11
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Therapy and Counseling,2.96,08/2025,12
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Sociology and Anthropology,2.85,08/2025,13
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Law and Government,2.76,08/2025,14
11-9032,11-9032.00,"Education Administrators, Kindergarten through Secondary",Foreign Language,2.63,08/2025,15
11-9033,11-9033.00,"Education Administrators, Postsecondary",English Language,4.33,08/2018,1
11-9033,11-9033.00,"Education Administrators, Postsecondary",Administration and Management,4.16,08/2018,2
11-9033,11-9033.00,"Education Administrators, Postsecondary",Education and Training,4.13,08/2018,3
11-9033,11-9033.00,"Education Administrators, Postsecondary",Customer and Personal Service,4.06,08/2018,4
11-9033,11-9033.00,"Education Administrators, Postsecondary",Personnel and Human Resources,3.39,08/2018,5
11-9033,11-9033.00,"Education Administrators, Postsecondary",Administrative,3.27,08/2018,6
11-9033,11-9033.00,"Education Administrators, Postsecondary",Computers and Electronics,3.22,08/2018,7
11-9033,11-9033.00,"Education Administrators, Postsecondary",Communications and Media,3.2,08/2018,8
11-9033,11-9033.00,"Education Administrators, Postsecondary",Mathematics,3.08,08/2018,9
11-9033,11-9033.00,"Education Administrators, Postsecondary",Psychology,3.06,08/2018,10
11-9033,11-9033.00,"Education Administrators, Postsecondary",Therapy and Counseling,2.87,08/2018,11
11-9033,11-9033.00,"Education Administrators, Postsecondary",Sales and Marketing,2.85,08/2018,12
11-9033,11-9033.00,"Education Administrators, Postsecondary",Law and Government,2.83,08/2018,13
11-9033,11-9033.00,"Education Administrators, Postsecondary",Economics and Accounting,2.68,08/2018,14
11-9033,11-9033.00,"Education Administrators, Postsecondary",Public Safety and Security,2.47,08/2018,15
11-9041,11-9041.00,Architectural and Engineering Managers,Design,4.32,08/2020,1
11-9041,11-9041.00,Architectural and Engineering Managers,Engineering and Technology,4.29,08/2020,2
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,English Language,4.07,07/2014,3
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Chemistry,4.03,07/2014,4
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Engineering and Technology,3.94,07/2014,5
11-9041,11-9041.00,Architectural and Engineering Managers,Mathematics,3.92,08/2020,6
11-9041,11-9041.00,Architectural and Engineering Managers,Administration and Management,3.89,08/2020,7
11-9041,11-9041.00,Architectural and Engineering Managers,English Language,3.87,08/2020,8
11-9041,11-9041.00,Architectural and Engineering Managers,Customer and Personal Service,3.82,08/2020,9
11-9041,11-9041.00,Architectural and Engineering Managers,Mechanical,3.66,08/2020,10
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Mathematics,3.57,07/2014,11
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Production and Processing,3.39,07/2014,12
