soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
11-1011,11-1011.00,Chief Executives,Microsoft Excel,Spreadsheet software,Y,Y,1
11-1011,11-1011.00,Chief Executives,Microsoft Office software,Office suite software,Y,Y,2
11-1011,11-1011.00,Chief Executives,Microsoft Outlook,Electronic mail software,Y,Y,3
11-1011,11-1011.00,Chief Executives,Microsoft PowerPoint,Presentation software,Y,Y,4
11-1011,11-1011.00,Chief Executives,Adobe Acrobat,Document management software,Y,N,5
11-1011,11-1011.03,Chief Sustainability Officers,Adobe Photoshop,Graphics or photo imaging software,Y,N,6
11-1011,11-1011.00,Chief Executives,Atlassian JIRA,Content workflow software,Y,N,7
11-1011,11-1011.00,Chief Executives,Extensible markup language XML,Enterprise application integration software,Y,N,8
11-1011,11-1011.03,Chief Sustainability Officers,Facebook,Web page creation and editing software,Y,N,9
11-1011,11-1011.00,Chief Executives,Intuit QuickBooks,Accounting software,Y,N,10
11-1011,11-1011.00,Chief Executives,Microsoft Access,Data base user interface and query software,Y,N,11
11-1011,11-1011.00,Chief Executives,Microsoft Project,Project management software,Y,N,12
11-1011,11-1011.00,Chief Executives,Microsoft SharePoint,Document management software,Y,N,13
11-1011,11-1011.00,Chief Executives,Microsoft Word,Word processing software,Y,N,14
11-1011,11-1011.00,Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N,15
11-1011,11-1011.00,Chief Executives,PHP,Web platform development software,Y,N,16
11-1011,11-1011.00,Chief Executives,SAP software,Enterprise resource planning ERP software,Y,N,17
11-1011,11-1011.03,Chief Sustainability Officers,Salesforce software,Customer relationship management CRM software,Y,N,18
11-1011,11-1011.00,Chief Executives,Structured query language SQL,Data base user interface and query software,Y,N,19
11-1011,11-1011.03,Chief Sustainability Officers,Tableau,Business intelligence and data analysis software,Y,N,20
11-1021,11-1021.00,General and Operations Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-1021,11-1021.00,General and Operations Managers,Microsoft Office software,Office suite software,Y,Y,2
11-1021,11-1021.00,General and Operations Managers,Microsoft PowerPoint,Presentation software,Y,Y,3
11-1021,11-1021.00,General and Operations Managers,Adobe Acrobat,Document management software,Y,N,4
11-1021,11-1021.00,General and Operations Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,5
11-1021,11-1021.00,General and Operations Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,6
11-1021,11-1021.00,General and Operations Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N,7
11-1021,11-1021.00,General and Operations Managers,Apache Hadoop,Data base management system software,Y,N,8
11-1021,11-1021.00,General and Operations Managers,Apple macOS,Operating system software,Y,N,9
11-1021,11-1021.00,General and Operations Managers,Atlassian Confluence,Project management software,Y,N,10
11-1021,11-1021.00,General and Operations Managers,Atlassian JIRA,Content workflow software,Y,N,11
11-1021,11-1021.00,General and Operations Managers,Autodesk AutoCAD,Computer aided design CAD software,Y,N,12
11-1021,11-1021.00,General and Operations Managers,Extensible markup language XML,Enterprise application integration software,Y,N,13
11-1021,11-1021.00,General and Operations Managers,Facebook,Web page creation and editing software,Y,N,14
11-1021,11-1021.00,General and Operations Managers,Google Analytics,Data mining software,Y,N,15
11-1021,11-1021.00,General and Operations Managers,Google Docs,Word processing software,Y,N,16
11-1021,11-1021.00,General and Operations Managers,HubSpot software,Sales and marketing software,Y,N,17
11-1021,11-1021.00,General and Operations Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N,18
11-1021,11-1021.00,General and Operations Managers,Intuit QuickBooks,Accounting software,Y,N,19
11-1021,11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,Time accounting software,Y,N,20
11-1031,11-1031.00,Legislators,Adobe Acrobat,Document management software,Y,N,1
11-1031,11-1031.00,Legislators,Cisco Webex,Video conferencing software,Y,N,2
11-1031,11-1031.00,Legislators,Microsoft Access,Data base user interface and query software,Y,N,3
11-1031,11-1031.00,Legislators,Microsoft Excel,Spreadsheet software,Y,N,4
11-1031,11-1031.00,Legislators,Microsoft Office software,Office suite software,Y,N,5
11-1031,11-1031.00,Legislators,Microsoft Outlook,Electronic mail software,Y,N,6
11-1031,11-1031.00,Legislators,Microsoft SQL Server,Data base user interface and query software,Y,N,7
11-1031,11-1031.00,Legislators,Microsoft SharePoint,Document management software,Y,N,8
11-1031,11-1031.00,Legislators,Microsoft Visual Basic,Development environment software,Y,N,9
11-1031,11-1031.00,Legislators,Microsoft Word,Word processing software,Y,N,10
11-1031,11-1031.00,Legislators,Structured query language SQL,Data base user interface and query software,Y,N,11
11-1031,11-1031.00,Legislators,Adobe FrameMaker,Desktop publishing software,N,N,12
11-1031,11-1031.00,Legislators,Antenna House,Desktop publishing software,N,N,13
11-1031,11-1031.00,Legislators,Apple Numbers for Mac,Spreadsheet software,N,N,14
11-1031,11-1031.00,Legislators,Apple iWork Keynote,Presentation software,N,N,15
11-1031,11-1031.00,Legislators,Apple iWork Pages,Word processing software,N,N,16
11-1031,11-1031.00,Legislators,Cisco AnyConnect,Access software,N,N,17
11-1031,11-1031.00,Legislators,Corel WordPerfect Office Suite,Office suite software,N,N,18
11-1031,11-1031.00,Legislators,GoodReader,Word processing software,N,N,19
11-1031,11-1031.00,Legislators,IBM Domino,Communications server software,N,N,20
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Office software,Office suite software,Y,Y,2
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,Presentation software,Y,Y,3
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,Document management software,Y,N,4
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe After Effects,Video creation and editing software,Y,N,5
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,6
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N,7
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe InDesign,Desktop publishing software,Y,N,8
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,9
11-2011,11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,Enterprise application integration software,Y,N,10
11-2011,11-2011.00,Advertising and Promotions Managers,Facebook,Web page creation and editing software,Y,N,11
11-2011,11-2011.00,Advertising and Promotions Managers,Google Analytics,Analytical or scientific software,Y,N,12
11-2011,11-2011.00,Advertising and Promotions Managers,HubSpot software,Sales and marketing software,Y,N,13
11-2011,11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,Web platform development software,Y,N,14
11-2011,11-2011.00,Advertising and Promotions Managers,JavaScript,Web platform development software,Y,N,15
11-2011,11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,Sales and marketing software,Y,N,16
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Access,Data base user interface and query software,Y,N,17
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,Electronic mail software,Y,N,18
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Project,Project management software,Y,N,19
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,Data base management system software,Y,N,20
11-2021,11-2021.00,Marketing Managers,Atlassian JIRA,Content workflow software,Y,Y,1
11-2021,11-2021.00,Marketing Managers,Microsoft Excel,Spreadsheet software,Y,Y,2
11-2021,11-2021.00,Marketing Managers,Microsoft Office software,Office suite software,Y,Y,3
11-2021,11-2021.00,Marketing Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-2021,11-2021.00,Marketing Managers,Salesforce software,Customer relationship management CRM software,Y,Y,5
11-2021,11-2021.00,Marketing Managers,Structured query language SQL,Data base user interface and query software,Y,Y,6
11-2021,11-2021.00,Marketing Managers,Adobe Acrobat,Document management software,Y,N,7
11-2021,11-2021.00,Marketing Managers,Adobe After Effects,Video creation and editing software,Y,N,8
11-2021,11-2021.00,Marketing Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,9
11-2021,11-2021.00,Marketing Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N,10
11-2021,11-2021.00,Marketing Managers,Adobe InDesign,Desktop publishing software,Y,N,11
11-2021,11-2021.00,Marketing Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,12
11-2021,11-2021.00,Marketing Managers,Amazon Redshift,Data base user interface and query software,Y,N,13
11-2021,11-2021.00,Marketing Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N,14
11-2021,11-2021.00,Marketing Managers,Apache Cassandra,Data base management system software,Y,N,15
11-2021,11-2021.00,Marketing Managers,Apache Hadoop,Data base management system software,Y,N,16
11-2021,11-2021.00,Marketing Managers,Apache Hive,Data base management system software,Y,N,17
11-2021,11-2021.00,Marketing Managers,Apple macOS,Operating system software,Y,N,18
11-2021,11-2021.00,Marketing Managers,Asana,Cloud-based data access and sharing software,Y,N,19
11-2021,11-2021.00,Marketing Managers,Atlassian Confluence,Project management software,Y,N,20
11-2022,11-2022.00,Sales Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-2022,11-2022.00,Sales Managers,Microsoft Office software,Office suite software,Y,Y,2
11-2022,11-2022.00,Sales Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-2022,11-2022.00,Sales Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-2022,11-2022.00,Sales Managers,Salesforce software,Customer relationship management CRM software,Y,Y,5
11-2022,11-2022.00,Sales Managers,Adobe Acrobat,Document management software,Y,N,6
11-2022,11-2022.00,Sales Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,7
11-2022,11-2022.00,Sales Managers,Bentley MicroStation,Computer aided design CAD software,Y,N,8
11-2022,11-2022.00,Sales Managers,Eclipse IDE,Development environment software,Y,N,9
11-2022,11-2022.00,Sales Managers,Facebook,Web page creation and editing software,Y,N,10
11-2022,11-2022.00,Sales Managers,Google Analytics,Data mining software,Y,N,11
11-2022,11-2022.00,Sales Managers,Google Docs,Word processing software,Y,N,12
