soc_code,onet_soc_code,occupation_title,task,task_type,source_date,rank
11-1011,11-1011.00,Chief Executives,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,08/2023,1
11-1011,11-1011.00,Chief Executives,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,08/2023,2
11-1011,11-1011.00,Chief Executives,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,08/2023,3
11-1011,11-1011.00,Chief Executives,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,08/2023,4
11-1011,11-1011.00,Chief Executives,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,08/2023,5
11-1011,11-1011.00,Chief Executives,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,08/2023,6
11-1011,11-1011.00,Chief Executives,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,08/2023,7
11-1011,11-1011.00,Chief Executives,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,08/2023,8
11-1011,11-1011.00,Chief Executives,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,08/2023,9
11-1011,11-1011.00,Chief Executives,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,08/2023,10
11-1011,11-1011.00,Chief Executives,Organize or approve promotional campaigns.,Core,08/2023,11
11-1011,11-1011.00,Chief Executives,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,08/2023,12
11-1021,11-1021.00,General and Operations Managers,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,08/2023,1
11-1021,11-1021.00,General and Operations Managers,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,08/2023,2
11-1021,11-1021.00,General and Operations Managers,Direct administrative activities directly related to making products or providing services.,Core,08/2023,3
11-1021,11-1021.00,General and Operations Managers,Prepare staff work schedules and assign specific duties.,Core,08/2023,4
11-1021,11-1021.00,General and Operations Managers,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,08/2023,5
11-1021,11-1021.00,General and Operations Managers,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,08/2023,6
11-1021,11-1021.00,General and Operations Managers,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,08/2023,7
11-1021,11-1021.00,General and Operations Managers,"Perform personnel functions, such as selection, training, or evaluation.",Core,08/2023,8
11-1021,11-1021.00,General and Operations Managers,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,08/2023,9
