state_name,state_abbreviation,regional_price_parity_2024,national_price_level,price_level_difference_percent,source_vintage,source_url,calculation_note
Alabama,AL,88.823,100.0,-11.177,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Alaska,AK,102.359,100.0,2.359,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Arizona,AZ,100.677,100.0,0.677,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Arkansas,AR,86.937,100.0,-13.063,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
California,CA,110.72,100.0,10.72,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Colorado,CO,103.052,100.0,3.052,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Connecticut,CT,103.61,100.0,3.61,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Delaware,DE,99.808,100.0,-0.192,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
District of Columbia,DC,109.901,100.0,9.901,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Florida,FL,103.414,100.0,3.414,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Georgia,GA,96.293,100.0,-3.707,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Hawaii,HI,109.951,100.0,9.951,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Idaho,ID,95.494,100.0,-4.506,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
